VECKA,MÖTE,ANSVARIG,ÖVRIGT,BESKRIVNING
V. 35,Planeringsmöte med alla utmanare,Johanna & Erik,Tordag 2/9,
V. 36,Segling 18:00,,,"Fundera på fler mötesideer, gärna utomhus"
V. 37,Segling 18:00,,,
V. 38,Segling 18:00,,Kårstämma onsdag,
V. 39,Segling 18:00,,,
V. 40,Inför hamncafe,,HAMNCAFE - MER INFO KOMMER,"Bakning, ställ i ordning, boka in sig på scheman, m.m."
V. 41,Tältfix,,JOTA JOTI - MER INFO KOMMER,Kolla igenom och sälj tält. Vart är bäst att sälja?
V. 42,Skattjakt,Nella & Frippe,,
